article_id,category,sort_order,title,desc,read_time_min,related_task_ids,body_md,subcategory
LIB-023,pension,40,介護保険の還付請求を忘れずに,高齢者の方に支払い実績があれば,2,RN-D14-05,"故人が要介護認定を受けて介護サービスを利用していた場合、自己負担分が上限を超えると還付される「**高額介護サービス費**」があります。

## 還付の上限

上限は所得により異なり、住民税非課税世帯で月15,000円、一般所得で月44,400円。これを超えた分が、申請すると戻ってきます。

## 申請が必要

申請は自動ではありません（初回以降は自動振込の自治体多数）。役所から「支給申請書」が届くので、必要事項を記入して返送します。期限はサービス利用月の翌月から **2年以内**。

## 同時に確認したい還付

介護保険料の死亡月までの月割り精算と、医療費・介護費を合算した「高額医療・高額介護合算制度」の還付も、同じタイミングで確認できます。

> 申請しないと戻ってきません。介護されていた方なら、まず役所に「高額介護サービス費はありますか」と確認を。
",back
LIB-024,pension,60,高額療養費の遺族請求,医療費が高額だった月は確認,2,RN-D14-04,"高額療養費は、1か月の医療費自己負担が上限を超えた場合に還付される制度です。亡くなる前の入院費などで使えます。

## 上限の目安

70歳以上の方（年収約370万円以下）の上限は、外来で月18,000円、入院（世帯）で月57,600円。70歳未満や所得により変動します。

## 申請の流れ

申請は、故人の加入していた健康保険組合・協会けんぽ、または市町村の国保窓口へ。受診から2〜3か月後に「申請書」が送られてくることが多いです。期限は **診療月の翌月から2年以内**。

## 認定証を使っていた場合

「限度額適用認定証」を病院で使っていれば、すでに上限まで支払い済みなので追加還付はありません。

> 「保険適用後でも高額」と感じる医療費があれば、まず制度を確認を。数万円〜数十万円戻ることがあります。
",back
LIB-007,inheritance,20,故人の借金は引き継がなければいけないか,3か月以内に決める,3,RN-M3-01;RN-M3-02;RN-M3-07,"借金が心配なときは、相続放棄・限定承認・単純承認のいずれかを **3か月以内** に選びます。何もしないと、自動的に「借金も含めて相続」したことになります。

## 借金の有無を調べる

借金の有無を調べる第一歩は、通帳の振込履歴と自宅の郵便物。それでも不安なら、信用情報機関（CIC・JICC・KSC）に各1,000円で開示請求すれば、過去5〜10年の借入履歴がわかります。

## 3つの選択肢

借金が確実に多いなら相続放棄、判断がつかないなら限定承認、プラスのほうが多いなら単純承認、というのが基本の選び方です。一人で判断が難しいときは、初回相談無料の弁護士・司法書士に早めに相談してください。

> 督促が来ても、その場で「払います」と言わないでください。一度持ち帰って、冷静に判断する時間を持ちましょう。
",debt
LIB-020,inheritance,50,不動産の相続登記（2024年義務化）,2024年から義務化されました,3,RN-Y3-01,"2024年4月から、相続による不動産の名義変更（相続登記）が **義務化** されました。相続を知ってから3年以内に手続きしないと、10万円以下の過料の対象になります。

## 必要書類と費用

必要な書類は、故人の出生から死亡までの戸籍、相続人全員の戸籍と住民票、遺産分割協議書（または遺言書）、固定資産評価証明書など。提出先は、不動産がある場所を管轄する法務局です。

費用は登録免許税（不動産評価額の0.4%）。司法書士に依頼すると5〜10万円が目安ですが、相続人が少なく不動産が1〜2件なら、自分でやることも可能です。

## 間に合わないとき

3年以内に分割協議が間に合わない場合は、「**相続人申告登記**」という暫定的な手続きで罰則を回避できます。本登記は後日でかまいません。

> 売却予定でも、まず相続登記が必要です。「すぐ売るから」と先送りせず、書類集めから始めてください。
",div
LIB-008,inheritance,80,相続放棄を考えるべきとき,家庭裁判所への申述,3,RN-M3-01;RN-M3-02,"相続放棄は、家庭裁判所で「申述」して初めて成立します。「親族に口頭で伝えた」だけでは無効になるので注意してください。

## 期限と手続き

期限は、自分が相続人と知った日から **3か月以内**。提出先は、故人の最後の住所地を管轄する家庭裁判所です。費用は収入印紙800円と郵便切手数百円、書類は申述書、故人の住民票除票、申述人と故人の戸籍謄本が中心になります。

## 受理通知が届くまで

申立てから1〜2か月で「相続放棄申述受理通知書」が届きます。注意点として、故人の財産を使ったり処分したりすると、放棄ができなくなることがあります（葬儀費用への充当は原則OK）。

## 兄弟への連絡を忘れずに

一人だけ放棄すると、次の順位の相続人に権利が移ります。**兄弟姉妹に必ず連絡** してください。「気づいたら借金を背負っていた」というトラブルが起きやすい場面です。

> 「借金があるかも」と心配な段階で動き始めて、結果として放棄を選ばないこともあります。それで問題ありません。
",debt
LIB-021,inheritance,110,遺産分割協議書の作り方,相続人全員の合意を文書化,3,RN-M3-11,"遺産分割協議書は、相続人全員が遺産の分け方に合意したことを示す書類です。不動産登記や預金解約に必須なので、丁寧に作る必要があります。

## 書くべきこと

書くべきは、故人の氏名・本籍・最後の住所・死亡日、相続人全員の氏名・住所、誰が何を相続するか、相続人全員の署名と実印。印鑑証明書も全員分添付します。

## 不動産の書き方

不動産は登記簿どおりの記載が必要です。住所表記ではなく、所在地、地番、地目、地積を正確に。記載漏れの財産が後から見つかると分割し直しになるので、「上記以外の遺産は○○が取得する」のような包括条項を入れると安全です。

## 自分で作るか専門家か

相続人2人ならテンプレート（法務局HPに無料公開）で自分で作れます。複雑なら司法書士（3〜10万円）に依頼を。

> 「気心知れた家族だから口約束で」は危険です。文書化が、何年後かのトラブルを防ぐ最大の備えになります。
",div
LIB-009,daily,10,クレジットカードと公共料金の停止,カードと公共料金を整理,2,RN-D7-10;RN-D14-15,"毎月の引落しは、放っておくとずっと続きます。通帳3か月分とクレジットカード明細を見て、止めるべきものを洗い出しましょう。

## クレジットカードと公共料金

クレジットカードは、各カード会社（番号は券面裏）に死亡を伝えれば、解約手続きを案内してくれます。家族カードやETCカードも自動的に停止になります。

電気・ガス・水道は、同居家族が住み続けるなら名義変更（電話一本でOK、無料）、空き家にするなら解約。携帯・インターネット・NHK・新聞・サブスク（Netflix、Amazon Prime等）も、それぞれの窓口で手続きが必要です。

## 違約金は基本免除

契約者死亡を理由とした解約は、ほとんどの会社で違約金が免除されます。「死亡による解約です」と必ず一言添えてください。

> 月数百円でも、年間にすると数万円。気づかないうちに引かれ続けるのが、一番もったいない出費です。
",contracts
LIB-027,daily,30,故人の自動車をどうするか,名義変更 or 売却,3,RN-M10-07,"故人の自動車は、**継続して使う** か **売却・廃車** するか、2つの選択肢があります。

## 名義変更の場合

家族が乗り続けるなら、陸運局で「移転登記」（500円程度、自分で可能）。任意保険は、配偶者や同居の親族なら **等級を引き継げる** ので、保険会社に名義変更を依頼してください。

## 売却・廃車の場合

売却するなら買取業者へ、廃車するなら廃車業者へ（買取になることもあります）。複数社で見積もりを取るのが鉄則です。

任意保険を解約する場合は、「**中断証明書**」を発行してもらってください。10年間有効で、新車購入時に等級が復活します。

## ローンが残っているとき

ローンが残っている場合は、ローン会社に連絡を。団体信用生命保険があれば残債が消えることもあります。

> 「思い出があるから手放せない」と感じるのも自然です。1年は使ってみて、それから判断するのもいいでしょう。
",vehicle
LIB-022,daily,60,故人の住居をどう片付けるか,焦らず、一部屋ずつ,3,RN-D14-18;RN-D14-60,"遺品整理は、グリーフケアの一部でもあります。「いつまでに」と決めず、自分のペースで進めてください。

## 急がなくていい

賃貸の退去期限がある、衛生面の問題があるといった事情がなければ、急ぐ必要はありません。1年以上かかることも自然です。「触れるだけで涙が出る」状態なら、半年は手をつけなくてもかまいません。

## おすすめの順番

順番のおすすめは、期限のあるもの（薬・食品・季節物）→衣類・日用品→大型家具・家電→写真・手紙・思い出の品。最後の写真と手紙は、感情が大きく動くので、ゆっくり時間をかけてください。

## 業者という選択

業者に依頼するなら、遺品整理士で1部屋10〜30万円が目安。供養・引取り・清掃まで一括してくれます。複数社で見積もりを。

> 故人は「使われないものに執着しないで」と思っているはずです。あなたが楽になることを、一番願っています。
",house
LIB-010,tax,10,相続税の基本：いつ動き始めるべきか,"遺産が3,000万円超なら確認",3,RN-M10-01,"相続税の基礎控除は「**3,000万円 + 600万円 × 法定相続人の数**」。これを超える場合のみ、申告と納税が必要になります。

## 控除額の計算

たとえば妻と子2人なら基礎控除は4,800万円、妻のみなら3,600万円。預貯金、不動産（路線価評価）、生命保険金、死亡退職金などを合算して、これを超えるかをまず確認します。借金や葬儀費用は控除可能です。

## 申告期限と特例

申告期限は **死亡を知った日の翌日から10か月以内**。配偶者の税額軽減（1.6億円または法定相続分まで非課税）や、自宅の評価を最大80%減らす小規模宅地等の特例は、申告して初めて使えます。「税額0」でも申告が必要なことがあるので注意してください。

> 「少額だから関係ない」と決めつけず、まず計算してみてください。都市部の不動産があると、思いがけず基礎控除を超えることがあります。
",basic
LIB-028,tax,50,故人の準確定申告（4か月以内）,4か月以内に税務署へ,3,RN-M4-01,"準確定申告は、故人の生前の所得を相続人が代わりに申告する制度です。期限は **死亡を知った日の翌日から4か月以内**。

## 対象になる方

対象になるのは、自営業・フリーランスの方、副業所得が20万円超のサラリーマン、年金収入400万円超の方、不動産収入があった方、高額医療費を使った方など。期限を過ぎると延滞税や無申告加算税がかかります。

## 還付になることも多い

医療費が10万円超だった場合（医療費控除）や、生命保険料控除、ふるさと納税の寄附金控除を活用すると、数万円〜数十万円の還付になることも珍しくありません。

## 国税庁のサイトが便利

国税庁HPの「確定申告書等作成コーナー」で、画面の質問に答えるだけで申告書ができます。複雑なら税理士へ（5〜15万円）。

> 「面倒くさい」で飛ばすと、戻ってくるはずのお金を逃します。医療費が高かった年は特に確認を。
",declare
LIB-011,digital,10,故人のスマホ・SNS・サブスクをどう整理するか,思い出を守りながら整理,3,RN-D7-16,"スマートフォンには、写真、連絡先、思い出が詰まっています。慌てて解約せず、まずデータを救出することから始めてください。

## 救出の優先順位

優先順位は、写真・動画→連絡先→メッセージやLINEのトーク履歴。クラウド（iCloud、Googleドライブ）にバックアップが残っていれば、機種変更時のように取り出せます。

## SNSとサブスク

SNSは、Facebook と Instagram は「追悼アカウント化」、LINE はトーク履歴を保存してから削除、X（Twitter）は家族からの依頼で削除可能です。サブスクリプション（iCloud+、Google One、動画・音楽配信）は、別途解約しないと月額が続きます。

## ロックが解けないとき

ロックを解除できないときは、Apple Store やデータ復旧業者（数万円〜）に相談する道もあります。

> 「何があるか分からないから消す」より、「中を見てから判断する」のがおすすめです。
",device
LIB-029,digital,30,故人のメールアカウントの扱い,思い出のメールを残す,2,,"故人のメールアカウントには、大切なやり取りや、家族が知らなかったつながりがある可能性があります。

## サービスごとの対応

Gmail なら、生前に「アカウント無効化管理ツール」を設定していれば家族が引き継げます。なければ Google に「アクセス申請」しますが、結果が出るまで数か月かかります。プロバイダメール（OCN、BIGLOBE等）は、契約解約と同時に消滅するので、解約前にデータをエクスポートしておくと安心です。

## 検索のコツ

アクセスできる場合は、まず受信トレイで「契約」「解約」「振込」「請求」を検索してみてください。自動引落のサブスクや、知られていなかった取引が見つかります。

## 友人への報告

故人と親しかった友人・知人を見つけたら、訃報を伝えるのも一つの選択。葬儀の案内が遅れたお詫びとしてもよいでしょう。

> メールは「現代の手紙」です。物理的な手紙と同じくらい、思い出と情報が詰まっています。
",device
LIB-012,pension,110,遺族年金：もらえる人ともらえない人,配偶者・18歳未満の子に,3,RN-D14-08;RN-D14-24,"遺族年金は、故人の働き方によって、もらえる人と金額が変わります。条件は複雑ですが、まず年金事務所に相談を。

## 遺族基礎年金

**遺族基礎年金**（国民年金）は、18歳到達年度末までの子がいる配偶者、またはその子本人に支給されます。基本年額は約81万円で、子の人数に応じた加算があります。

## 遺族厚生年金

**遺族厚生年金**（厚生年金）は、配偶者・子・父母・孫等に支給されます。妻は年齢制限なし、夫は55歳以上で60歳から、というのが基本。金額は故人の老齢厚生年金の3/4が目安です。

## 請求は5年以内

請求期限は5年。過ぎても遡って支払われることがあるので諦めずに。年金事務所は予約制（0570-05-1165）です。

> 制度は複雑なので、年金事務所での相談が一番確実です。「対象か分からない」状態で予約していいんです。
",bereaved
LIB-025,funeral,150,喪中はがきはいつ・誰に出すか,11月中旬までに送る,2,,"喪中はがきは、年賀状を控えることをお知らせする挨拶状です。**11月中旬から12月初旬** までに届くよう手配します。

## 出す範囲

出す範囲は、普段年賀状をやり取りしている方と葬儀に参列いただいた方が中心。一親等（親・子）の場合は必ず、二親等（祖父母・兄弟姉妹）以降は同居か密な関係なら出す、というのが目安です。

## 文面のひな型

文面は「喪中につき年末年始のご挨拶を失礼させていただきます」と始めて、故人の続柄・氏名・年齢・命日、お礼の言葉、結びの挨拶という流れ。切手は弔事用（胡蝶蘭の切手）、薄墨色の文字が伝統です。

## 間に合わないときは寒中見舞い

11月に間に合わなかった場合は、年明けに「**寒中見舞い**」（1月7日〜2月4日）で代用できます。

> 「年賀状を出さないお詫び」ではなく、「悲しみを共有してくれる方々への挨拶」です。形式にとらわれすぎず、気持ちを優先してください。
",mem
LIB-013,grief,10,悲しみの中で手続きに追われているあなたへ,いまの自分を、責めないで,3,,"手続きの山に追われて、悲しむ時間さえ持てない。それは、ご自分が冷たいからではありません。眠れない、食べられない、涙が出ない——どれも、心と体が悲しみを必死に処理している証です。

## ひとつずつで十分

今日は「銀行に電話する」だけでも立派です。明日は「保険会社に書類を送る」。それで一日が終わっても、それでいいんです。遺品整理もお墓のことも、何か月、何年かかってもかまいません。

## 危険なサインに気づいたら

もし2週間以上、眠れない・食べられない状態が続いたり、「自分も逝きたい」気持ちが強くなったら、一人で抱えないで心療内科か **よりそいホットライン（0120-279-338、24時間無料）** へ電話してください。

> 「悲しんでいる時間がない」と感じても、悲しみは消えません。あとから必ず訪れます。そのとき、どうかご自分にやさしくしてあげてください。
",self
LIB-014,grief,20,子どもにどう伝えるか,事実を、その子に合う言葉で,3,,"子どもには「分からないだろう」と思いがちですが、子どもは大人が思う以上に状況を感じ取っています。年齢に合わせて、誠実に伝えてください。

## 嘘をつかない

大切なのは、嘘をつかないこと。「眠っているだけ」「旅行に行った」は、子どもをかえって混乱させます。「死」という言葉を、その子に合う形で使ってください。

## 年齢に合わせて

3〜6歳なら「亡くなったの。もう、会えないの。でも、あなたのことを大好きだったよ」。9歳以上なら、病気や事故などの事実も含めて伝えます。何度同じ質問をされても、同じ答えを返してあげてください。

## 「あなたのせいじゃない」

そして、「**あなたのせいじゃない**」を繰り返し伝えること。子どもは状況を自分のせいにしがちです。退行（赤ちゃん返り）や急に明るくなることも、すべて自然な反応です。

> 子どもは思う以上に強く、また脆い存在です。「あなたを守る大人がここにいる」を、繰り返し伝えてください。
",relation
LIB-026,grief,30,一周忌までの法要スケジュール,一周忌までの法要スケジュール,3,,"葬儀後も、節目ごとに故人を偲ぶ法要が続きます。一周忌までの主な節目を整理しておくと、気持ちの準備がつきやすくなります。

## 主な節目

最も重要なのが **四十九日**（忌明け、納骨を兼ねることが多い）。次に百か日（最近は省略することが多い）、そして一周忌（命日から1年後）。命日の数え方は、亡くなった日を1日目として数えます。

## 日程のコツ

法要は「正確な日」より「集まりやすい土日」に **前倒し** が慣例です。後ろ倒しは避けます。お布施は四十九日で3〜5万円、引出物は一人2,000〜5,000円ほどが目安。

## 招く範囲

四十九日と一周忌は親族・親しい方を招くのが一般的、それ以降は家族中心で簡素化する家庭も増えています。家族のみで集まる、菩提寺で読経のみ、なども選択肢です。

> 形式に気負わず、家族で集まって思い出を語る時間として大切にしてください。
",time
LIB-015,grief,70,自分のペースで悲しんでいい,時間が解決するわけじゃない,3,,"「もう半年経ったのに」「いつまでも引きずって」——周りの言葉や、自分自身の声に、傷つくことがあります。

## 治るものではない

グリーフ（悲嘆）は、乗り越えるべき病気ではありません。**悲しみと共に生き続ける** ことを、少しずつ覚えていく過程です。1年目より3年目のほうが辛いと感じる人もいます。命日や誕生日、季節の変化で揺れ動くのは、健康な反応です。

## 周りの言葉に振り回されない

周りからかけられる「もう乗り越えなきゃ」「強くならなきゃ」といった言葉に、悪意はないことが多いです。それでも傷つくのは正常な反応。「気にかけてくれてありがとう」とだけ返して、距離を取って大丈夫です。

## 専門家に頼っていい

日常生活が長期間営めない、自分を傷つけたい気持ちが続く、「逝きたい」が強い——そんなときは、心療内科やよりそいホットライン（0120-279-338）へ。

> 「いつまで悲しんでいいの？」の答えは、「あなたが悲しい間ずっと」です。誰かの時間軸に合わせる必要はありません。
",self
LIB-030,grief,170,大切な人の物をいつ片付けるか,「片付ける」ではなく「向き合う」,2,,"故人の物を片付けるのは、片付けではなく「向き合う」時間です。「いつまでに」と決めず、自分のペースで進めてください。

## 順番のおすすめ

急ぐ理由（賃貸退去等）がなければ、1か月以上空けてから始めても遅くありません。順番のおすすめは、期限のあるもの（薬・食品・季節物）→衣類・日用品→大型家具・家電→写真・手紙・思い出の品。

## 写真と仏壇

写真や手紙は、感情が大きく動くので最後に。スキャンしてデジタル化したり、アルバムにまとめたりすると、無理に手放さなくても整理できます。仏壇や神棚は、仏具店やお寺で「閉眼供養（魂抜き）」を依頼してください（1〜3万円）。

## 「捨てる罪悪感」と向き合う

「全部残す」は物理的に不可能です。**写真に撮ってから手放す**、必要としている人に譲る、というのも立派な供養になります。

> 物を片付けながら、故人と会話している自分に気づくはずです。それは別れではなく、新しい関係の始まりです。
",time
LIB-031,funeral,20,自宅葬と家族葬の違い,どちらも「身内中心の葬儀」,3,RN-D7-01,"自宅葬と家族葬は似ていますが、場所と参列者の範囲が異なります。

## 自宅葬とは

**自宅葬** は、故人の自宅で葬儀を行う形。場所が自宅というだけで、参列者数は問いません。費用は30〜80万円ほど。住み慣れた場所で送れる一方、自宅の片付けや近所への配慮が必要です。

## 家族葬とは

**家族葬** は、参列者を家族・親族中心に絞った葬儀。場所は問わないので、葬儀場でも自宅でも行えます。費用は50〜100万円ほど。親しい人だけでゆっくり送れる一方、後日「呼ばれなかった」と言われるリスクもあります。

## トラブルを防ぐコツ

家族葬を選ぶときは、訃報案内に「家族葬」と明記し、「ご厚志（香典・供花）はご辞退」を一文添えるとトラブルを防げます。後日の弔問には丁寧に対応してください。

> 葬儀の形に「正解」はありません。故人がどう送られたかったか、家族がどう送りたいか。それを基準に選んでください。
",type
LIB-032,funeral,30,お布施の相場と渡し方,金額に迷ったときの目安,2,,"お布施は僧侶への謝礼で、明確な「料金」ではないため、金額に悩む方が多くいらっしゃいます。

## 葬儀全体の目安

通夜・葬儀全体のお布施は、宗派により幅がありますが、おおよそ **20〜50万円** が一つの目安です。これに加えて、お車代として5,000〜1万円、会食を辞退された場合の御膳料として5,000〜1万円を別封筒で用意します。戒名料を含めるかどうかも宗派により異なるため、菩提寺に直接確認するのが確実です。

## 渡し方の作法

封筒は白無地、表書きは「**御布施**」。袱紗から取り出して両手で渡すのが作法です。渡すタイミングは、葬儀前後の挨拶時か、火葬場での合間が一般的です。

## 直接聞いていい

「いくらお包みすればよいですか」と住職に直接伺っても、失礼にはあたりません。それでも迷うときは、葬儀社に「この地域の相場」を聞くのが、もっとも安全な判断材料になります。

> 形式より、故人を偲ぶ気持ちが何より大切です。納得のいく額を選んでください。
",type
