task_id,action_summary,why_needed,destination,required_docs,steps_short,steps_detail,office_hours,address,phone,done_condition,faq
RN-D7-05,葬儀に飾る遺影用の写真を選び、葬儀社に渡す。スマホの写真でもOK。,遺影は葬儀社が引き伸ばし・加工しますが、元の写真が必要です。,葬儀社,故人の写真（プリント/スマホデータ）,1. スマホ・アルバム・PCから写真を探す\n2. ピントが合い正面向きのものを2〜3枚選ぶ\n3. 葬儀社にプリントまたはデータで渡す,1. 家族のスマホにある写真（LINE送信済みのもの等）も候補になります。\n2. 集合写真の切り抜き・スマホ写真でもまったく問題ありません。\n3. データの場合はLINE・メール・USBメモリで渡せます。引き伸ばし・加工は葬儀社が行います。,,,,遺影用写真を葬儀社に渡し済み。,Q.いい写真がない→集合写真の切り抜きやスマホの写真でもOKです\nQ.費用はかかる？→葬儀プランに含まれていることが多いです\nQ.帽子やサングラスの写真は？→外した方がいいですが、故人らしさを優先する方もいます
RN-D7-06,北竜町役場 1F 住民課に「死亡届」を提出し、「火葬許可証」を受け取る。届出は葬儀社が代行してくれる場合も多い。,火葬を行うには「火葬許可証」が必要です。死亡届を出さないと火葬許可証がもらえません。,北竜町役場,死亡診断書（原本）、届出人の印鑑,1. 死亡診断書の原本と届出人の印鑑を用意する\n2. 北竜町役場1F住民課で「死亡届の提出をしたい」と伝える\n3. 窓口で必要事項を記入して提出する\n4. 「火葬許可証」を受け取りクリアファイルで保管,1. 印鑑は認印OK（シャチハタ不可）。コピーがまだの場合は先にRN-H24-02を完了してください。\n2. 平日8:30-17:15。時間外・休日は当直窓口で届出のみ受付可能。\n3. 死亡届は死亡診断書と一体の用紙（左半分）です。記入箇所は職員が教えてくれます。\n4. この許可証がないと火葬ができません。葬儀社が代行してくれることも多いです。「代行は可能ですか」と聞いてみてください。,平日 8:30-17:15（時間外・休日は当直窓口で届出のみ可）,北海道雨竜郡北竜町字和11-1,0164-34-2111,死亡届が受理され、火葬許可証が手元にある。,Q.窓口で何と言えばいい？→「死亡届の提出をしたいのですが」と伝えてください\nQ.届出は誰が出せる？→同居親族、その他の親族、同居者など。葬儀社が代行することも多いです\nQ.期限を過ぎてしまったら？→届出は受理されますが、過料の対象になることがあります
RN-D7-07,火葬後に火葬場の窓口で「埋葬許可証」を受け取り、安全に保管する。納骨の際に必要。,納骨のときに墓地管理者や寺院に提出する書類です。紛失すると再発行に手間がかかります。,火葬場（火葬後に交付）,火葬許可証（提出済みのもの）,1. 火葬終了後、火葬場の窓口で「埋葬許可証」を受け取る\n2. 記載内容を確認する\n3. 骨壺の箱の中、またはクリアファイルで保管\n4. 保管場所を家族に伝える,1. 火葬許可証に「火葬済」の印が押されたものが埋葬許可証です。新しい書類が発行されるわけではありません。\n2. 故人のお名前と日付が正しいか確認してください。\n3-4. 納骨時に墓地管理者やお寺に提出が必要です。,火葬場の営業時間内,{要確認：火葬場},,埋葬許可証が手元にあり、保管場所が共有されている。,Q.埋葬許可証と火葬許可証は同じもの？→火葬許可証に「火葬済」の印が押されたものが埋葬許可証です\nQ.紛失したら？→火葬した市区町村で再発行できます\nQ.納骨はいつまでにやる？→法律上の期限はありません
RN-D7-10,故人の銀行口座から自動で引き落とされている支払い（公共料金・ローン・保険料等）を確認し、リストにする。,銀行に届け出ると口座が凍結され、自動引落しが止まります。凍結前にどこへいくら払っているか把握しないと、料金滞納やサービス停止につながります。,,故人の通帳・カード、銀行からの郵便物,1. 故人の通帳の直近6か月分を確認する\n2. 定期引落しをリスト化（引落し先・金額・頻度・連絡先）\n3. 「名義変更で継続」「解約」「別途手続き要」に分類\n4. 銀行届出（口座凍結）のタイミングを決める,1. 未記帳ならATMで記帳してください。銀行に死亡届を出す前に行うこと。ネット銀行はスマホ/PCからログインして取引履歴を確認。\n2. —\n3. 口座が凍結されると引落しが止まります。名義変更が先に必要なもの（電気・水道等）を把握しておいてください。\n4. —,,,,自動引落しリストが作成され、対応方針が整理されている。,Q.通帳が未記帳→ATMで記帳するか、銀行の窓口で明細を取得してください（凍結前に）\nQ.ネット銀行で通帳がない→スマホかPCからログインして取引履歴を確認してください\nQ.口座はいつ凍結される？→銀行に届け出た時点で凍結されます。届け出るまでは動きます
RN-D7-11,北竜町役場で1回の来庁でまとめて行える手続きを事前に確認し、必要書類を準備する。,何度も役場に足を運ばなくて済むよう、まとめてできる手続きを1回の来庁で片付けましょう。,北竜町役場,死亡診断書コピー、本人確認書類、印鑑、故人の保険証・年金手帳等,1. タスクリストで役場関連の手続きを確認する\n2. 役場に電話して必要な持ち物を確認する\n3. 基本セットを準備する\n4. 来庁日時を決める（午前中がおすすめ）,1. 世帯主変更・保険証返却・葬祭費申請・介護保険届出・住民票の除票取得・マイナンバーカード返却等。\n2. 電話番号：0164-34-2111。「家族が亡くなったのでまとめて手続きしたい。持ち物を教えてほしい」と伝えてください。\n3. 基本の持ち物：死亡診断書コピー2部以上・届出人の本人確認書類と印鑑・故人の保険証/介護保険証/年金手帳/マイナンバーカード・届出人の振込先口座。\n4. 2〜3時間かかることを見込んでおいてください。,平日 8:30-17:15,北海道雨竜郡北竜町字和11-1,0164-34-2111,まとめ手続きと必要書類リストが整理され、来庁の段取りが決まっている。,Q.おくやみ窓口はある？→専用窓口がなくても、住民課に事前連絡すれば各課を案内してもらえます\nQ.代理人でもいい？→委任状があれば多くの手続きは代理可能です\nQ.1日で終わる？→2〜3時間で主要な手続きは完了できることが多いです
RN-D7-12,あなたの勤務先に親族が亡くなったことを届け出る。忌引休暇の取得、弔慰金の受給、団体生命保険の確認などを行う。,忌引休暇・弔慰金・見舞金・団体保険など、勤務先からの支援を受けるために必要です。,あなたの勤務先の総務部・人事部,死亡診断書コピー（会社による）、会葬礼状,1. 直属の上司に電話し忌引休暇を申請\n2. 忌引日数・弔慰金の有無を確認\n3. 団体生命保険の加入有無を確認\n4. メンタルサポート（EAP等）の有無を確認,1. 誰が亡くなったか・続柄・葬儀日程を伝えてください。\n2. 忌引日数の目安：配偶者5〜10日、親5〜7日、兄弟3日。弔慰金は総務に確認。\n3. 給与明細の控除欄に「団体保険料」があれば加入の可能性があります。\n4. —,勤務先の営業時間,,,勤務先への届出完了、忌引・弔慰金・団体保険の確認済み。,"Q.忌引休暇は何日？→就業規則によります。配偶者5〜10日、親5〜7日、兄弟3日が目安です\nQ.弔慰金はいくら？→5,000〜100,000円が一般的です\nQ.団体保険に入っているか確認するには？→給与明細の控除欄を確認してください"
RN-D7-13,北竜町役場で故人の「住民票の除票」を取得する。銀行届出・保険金請求・相続手続きなど多くの場面で必要になるため、複数枚まとめて取得しておく。,故人の最後の住所を証明する書類です。銀行届出・保険金請求・相続手続きなど多くの場面で求められます。,北竜町役場 1F 住民課,本人確認書類、印鑑、故人との関係がわかる書類,1. 役場1F住民課で「住民票の除票がほしい」と伝える\n2. 請求書に記入し本人確認書類を提示\n3. 3〜5通まとめて取得する（1通300円程度）,1. 平日8:30-17:15。\n2. —\n3. 銀行届出・保険金請求・相続手続き等で多数必要になります。死亡届提出後1〜2営業日後から取得可能です。,平日 8:30-17:15,北海道雨竜郡北竜町字和11-1,0164-34-2111,住民票の除票を必要部数取得済み。,Q.何通必要？→3〜5通がおすすめです\nQ.死亡届を出した直後に取れる？→処理後1〜2営業日後から取得可能です\nQ.遠方に住んでいる場合→郵送で請求できます
RN-D7-14,故人の勤務先に死亡を届け出て、退職手続き・死亡退職金・貸与品の返却などを進める。,最終給与の精算、退職金の支給、社会保険の喪失手続き、貸与品の返却が必要です。,故人の勤務先の総務部・人事部,死亡診断書コピー、届出者の本人確認書類,1. 勤務先に電話し「○○の遺族です」と総務を呼んでもらう\n2. 最終給与・死亡退職金について確認\n3. 社会保険の資格喪失手続き・保険証返却\n4. 源泉徴収票の発行を依頼\n5. 貸与品の返却・私物の引き取り日程を調整,1. 「○○の遺族ですが、総務のご担当者をお願いします」で大丈夫です。\n2. 退職金の金額はメモしておいてください（相続税計算で使います）。\n3. 保険証は勤務先に返却。手続きは勤務先が行います。\n4. 準確定申告（RN-M4-01）で必要になります。発行時期も確認してください。\n5. —,勤務先の営業時間,,,勤務先への届出完了、退職手続き・退職金・貸与品返却の段取り確認済み。,Q.電話しづらい→「○○の遺族ですが、総務のご担当者をお願いします」と伝えれば大丈夫です\nQ.退職金はいくら？→会社の規程によります。総務に確認してください\nQ.保険証は返す？→はい。勤務先経由で返却します
RN-D7-15,故人が入院・入居していた病院や介護施設に未払いの費用がないか確認し、請求が届いたら精算する。在宅の場合も直前の通院費の未精算がないか確認。,請求書は1〜2週間後に届くことが多く、放置すると督促状が届いて心理的負担が増します。事前に把握しておくだけで慌てずに済みます。,故人が入院・通院していた病院／入居していた介護施設,故人の保険証（返却前なら持参）、届出人の本人確認書類,1. 入院・入居していた病院/施設に電話して未精算額を確認する\n2. 通院していた病院・薬局にも未精算がないか確認する\n3. 請求書が届いたら内容を確認して支払う\n4. 領収書を保管する（医療費控除で使う可能性あり）,1. 「○○の遺族ですが、入院費用の精算について確認したい」と伝えてください。精算額と支払い方法を教えてもらえます。\n2. かかりつけ医・歯科・調剤薬局も確認してください。\n3. 高額療養費（RN-D14-04）の対象になる場合があるので、支払い前に確認をおすすめします。\n4. 準確定申告の医療費控除（RN-M4-02）で使う場合があります。すべての領収書を保管してください。,各病院・施設による,,,未払い費用の有無を確認済み。請求がある場合は精算済みまたは支払い予定が明確。,Q.請求書がまだ届いていない→1〜2週間後に届くことが多いです。病院に電話すれば金額を先に教えてもらえます\nQ.高額で払えない→分割払いに応じてくれる病院が多いです。窓口に相談してください\nQ.故人の保険で高額療養費が使える？→RN-D14-04で確認してください。還付を受けられる場合があります
RN-D7-16,故人のスマホ・PC・タブレットのパスコード（ロック）解除を試みる。解除できない場合はキャリアや専門業者に相談する。後続のサブスク解約・SNS整理に必要。,パスコードが分からないままだと、サブスクの解約、SNSの追悼アカウント設定、二段階認証が必要なサービスへのログインがすべてできなくなります。時間が経つほど解除が難しくなります。,キャリアショップ／Appleサポート／専門業者,故人の端末、届出人の本人確認書類、戸籍謄本（キャリアによる）,1. 心当たりのあるパスコードを試す（最大3回まで）\n2. iPhone→Appleサポートに相談\n3. Android→Googleの「故人のアカウントに関するリクエスト」から申請\n4. 解除できない場合→専門業者に相談,1. よく使われるもの：誕生日（6桁）、電話番号の下4桁、結婚記念日、「000000」。【重要】10回間違えるとデータが消える機種があります。3回試してダメなら止めてください。\n2. Appleサポート（0120-277-535）に「故人のiPhoneのロック解除について相談したい」と伝えてください。Digital Legacyの案内を受けられます。\n3. Googleの「故人のアカウントに関するリクエスト」ページから申請。審査に数週間かかります。\n4. 費用目安：3〜10万円。「デジタル遺品 ロック解除」で検索。北竜町にはショップがないため、電話/オンライン対応を推奨。,Appleサポート：9:00-21:00／キャリア：10:00-19:00が一般的,,Appleサポート：0120-277-535,パスコードが解除できた、または解除の方針（業者依頼等）が決まっている。,Q.パスコードを何回も試していい？→10回間違えるとデータが消える機種があります。3回までにしてください\nQ.指紋・顔認証は使えない？→亡くなった後は生体認証は使えません。PIN番号が必要です\nQ.費用をかけたくない→キャリアやApple/Googleの公式サポートにまず相談してください。無料で対応できる場合があります
RN-D7-17,銀行に届け出ると口座が凍結されるが、遺産分割の前でも「相続預金の払戻し制度」で各口座から一定額を引き出せる。制度を事前に把握しておく。,口座が凍結されると、当面の生活費・葬儀費用・医療費の支払いに困ることがあります。2019年の民法改正で創設された制度で、遺産分割前でも引き出せます。知らないと使えない制度です。,各銀行の窓口,届出人の本人確認書類、故人の戸籍謄本、届出人の戸籍謄本（相続人であることの証明）,1. 制度の内容を理解する（各口座残高×1/3×法定相続分、上限150万円）\n2. 引き出しが必要になりそうか、家族で話し合う\n3. 必要な場合は銀行に「相続預金の仮払いを利用したい」と伝える,1. 例：口座残高600万円・相続人が配偶者と子1人の場合、配偶者は600万×1/3×1/2＝100万円まで引き出せます。\n2. 葬儀費用・医療費の精算・当面の生活費を概算してみてください。\n3.【重要】実際の引き出しは銀行届出（口座凍結）後に行います。凍結前に無理に引き出す必要はありません。銀行届出の前にこの制度を知っておくことが大事です。家庭裁判所の審判による払戻しもあります（上限なし、ただし手続きに時間がかかる）。,平日 9:00-15:00（窓口）,,,制度の内容を理解し、利用の要否について方針が決まっている。,Q.遺産分割前に引き出して大丈夫？→法律で認められた制度です。引き出した分は相続分から差し引かれます\nQ.上限150万円では足りない→家庭裁判所の審判による払戻し（上限なし）もあります。ただし手続きに時間がかかります\nQ.口座が複数ある場合→口座ごとに上限が計算されます
RN-D14-01,北竜町役場で世帯主変更届を提出する。故人が世帯主で、残りの世帯員が2人以上の場合に必要。,届出が遅れると住民票や保険証の記載に影響します。,北竜町役場 1F 住民課,本人確認書類、印鑑（国保保険証があれば持参）,1. 届出が必要か確認する（故人が世帯主＆残り2人以上→必要）\n2. 新しい世帯主を決める\n3. 役場1F住民課で「世帯主変更届を出したい」と伝える\n4. 国保加入者は保険証の世帯主変更も同時に行う,1. 残り1人なら届出不要（自動的に世帯主になります）。\n2. 一般的には配偶者がなることが多いです。\n3. 持ち物：本人確認書類・印鑑。\n4. 保険証も持参してください。,平日 8:30-17:15,北海道雨竜郡北竜町字和11-1,0164-34-2111,世帯主変更届が受理され、住民票に反映されている。,Q.残り1人なら届出は不要？→はい。自動的に世帯主になるため届出不要です\nQ.配偶者と15歳未満の子だけ→原則不要です\nQ.期限を過ぎたら？→5万円以下の過料の可能性がありますが、届出は受理されます
RN-D14-02,故人の健康保険証を返却し、資格喪失の届出をする。国保・後期高齢者は役場へ、社保は故人の勤務先へ。,故人の保険証で医療費が請求されると、あとから返還を求められます。,国保・後期高齢者：北竜町役場／社保：故人の勤務先,故人の保険証、死亡確認書類、届出人の本人確認書類、印鑑,1. 保険の種類を確認（国保/後期高齢者→役場、社保→勤務先）\n2. 役場 or 勤務先に保険証を返却・届出する\n3. 高額療養費の未申請分がないか確認\n4. 扶養家族の保険切り替えが必要か確認,1. 保険証の表面を見れば種類がわかります。\n2. 役場の場合「健康保険証の返却と資格喪失の届出をしたい」と伝えてください。持ち物：故人の保険証・届出人の本人確認書類と印鑑。紛失の場合はその旨伝えればOK。社保の場合は勤務先が手続きします。\n3. →RN-D14-04へ。\n4. →RN-D14-23へ。,平日 8:30-17:15（役場）,北海道雨竜郡北竜町字和11-1,0164-34-2111,資格喪失届が提出され、保険証が返却済み。,Q.保険証が見つからない→紛失の旨を届出書に書けばOKです\nQ.社保は自分で手続きする？→勤務先が手続きします。保険証を返却してください\nQ.国保と後期高齢者の違いは？→75歳以上は後期高齢者医療です
RN-D14-03,故人の健康保険から「葬祭費」（国保）または「埋葬料」（社保）を申請する。国保は自治体により1〜7万円、社保は一律5万円。,葬儀を行った方に支給される給付金です。申請しないともらえません。,国保・後期高齢者：北竜町役場／社保：協会けんぽ支部等,故人の保険証、葬儀の領収書または会葬礼状、申請者の振込先口座、印鑑,1. 国保/後期高齢者→役場で「葬祭費の申請をしたい」と伝える\n2. 社保→協会けんぽに「埋葬料支給申請書」を郵送\n3. 振込先口座を記入して提出（1〜2か月後に振込）,1. 持ち物：故人の保険証・葬儀の領収書（または会葬礼状）・申請者の振込先口座・印鑑。支給額は自治体により3〜7万円程度。\n2. 社保は一律5万円。協会けんぽのWebサイトから申請書をダウンロードできます。\n3. 領収書がまだでも会葬礼状で申請可。時効2年。,平日 8:30-17:15（役場）,北海道雨竜郡北竜町字和11-1,0164-34-2111,葬祭費（埋葬料）の申請書を提出済み。,Q.いくらもらえる？→国保は自治体による（3〜7万円）。社保は一律5万円です\nQ.領収書がまだない→会葬礼状でも申請できます。後日申請もOK（時効2年）\nQ.直葬でももらえる？→はい。火葬費用を負担した方が申請できます
RN-D14-04,故人の入院・通院で支払った医療費が高額療養費の限度額を超えていないか確認し、超えていれば還付を申請する。,自己負担限度額を超えた分が戻ってきます。知らないと損をする制度です。,国保・後期高齢者：北竜町役場／社保：協会けんぽ支部等,故人の保険証、医療費の領収書、振込先口座、印鑑,1. 故人の医療費領収書を集める\n2. 月ごとの自己負担額を確認（約8万円/月以上なら対象の可能性）\n3. 役場に電話して該当するか確認\n4. 該当する場合は申請書を提出,1. —\n2. 限度額は年齢・所得により異なります。\n3. 0164-34-2111に電話して「高額療養費の還付があるか確認したい」と伝えてください。自分で判断できなくても教えてもらえます。\n4. 持ち物：医療費領収書・振込先口座・印鑑。,平日 8:30-17:15（役場）,北海道雨竜郡北竜町字和11-1,0164-34-2111,高額療養費の該当有無を確認済み。該当する場合は申請提出済み。,Q.限度額はいくら？→年齢・所得により異なります。70歳未満の一般的なケースで月約8万円です\nQ.入院していなくても対象？→通院でも限度額を超えていれば対象です\nQ.該当するかわからない→役場に電話して確認を依頼してください
