override_id,task_id,field_name,override_value
LO-HOKURYU-099,RN-D49-01,address,{要確認：菩提寺・霊園}
LO-HOKURYU-100,RN-D49-01,phone,{要確認：寺院の電話番号}
LO-HOKURYU-101,RN-M3-01,destination,旭川家庭裁判所深川出張所
LO-HOKURYU-102,RN-M3-01,steps_detail,1. 財産目録の作成と負債調査を並行して進めてください。 2.— 3.【重要】3か月以内に判断が必要です。超えると自動的に相続したことになります。 4. 旭川家裁深川出張所（0164-23-2813）に申述します。必要書類一式をお持ちください。 5. 3か月の延長を申し立てることもできます。
LO-HOKURYU-103,RN-M3-01,office_hours,平日 8:30-17:00
LO-HOKURYU-104,RN-M3-01,address,旭川家庭裁判所深川出張所：北海道深川市2条1番4号
LO-HOKURYU-105,RN-M3-01,phone,0164-23-2813
LO-HOKURYU-106,RN-M3-03,address,北海道雨竜郡北竜町字和11-1（本籍が北竜町の場合）
LO-HOKURYU-107,RN-M3-03,phone,0164-34-2111
LO-HOKURYU-108,RN-M3-05,destination,旭川地方法務局（本局）
LO-HOKURYU-109,RN-M3-05,steps_detail,1. 手書きでもPCでも作成できます。 2. 旭川地方法務局本局（0166-38-1111）で申請できます。窓口・郵送どちらも可能です。 3. 5〜10枚の取得をおすすめします。銀行・法務局・税務署で毎回戸籍を出す必要がなくなります。
LO-HOKURYU-110,RN-M3-05,office_hours,平日 8:30-17:15
LO-HOKURYU-111,RN-M3-05,address,旭川地方法務局：北海道旭川市宮前1条3丁目3番15号
LO-HOKURYU-112,RN-M3-05,phone,0166-38-1111
LO-HOKURYU-113,RN-M3-12,action_summary,故人名義の農地について北竜町農業委員会に届出が必要です。届出を怠ると10万円以下の過料の対象になります。耕作不能なら貸付制度を案内してもらえます。
LO-HOKURYU-114,RN-M3-12,destination,北竜町農業委員会（役場内）
LO-HOKURYU-115,RN-M3-12,steps_detail,1. 固定資産税通知書で農地の有無を確認してください。届出をしないと過料の対象になります。 2. 届出先は役場内の農業委員会（0164-34-2111）です。 3. 登記事項証明書等を添付してください。 4. 農地中間管理機構への貸付案内もあります。売却する場合は農業委員会の許可が必要です。
LO-HOKURYU-116,RN-M3-12,office_hours,平日 8:30-17:15
LO-HOKURYU-117,RN-M3-12,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-118,RN-M3-12,phone,0164-34-2111
LO-HOKURYU-119,RN-M4-01,destination,深川税務署
LO-HOKURYU-120,RN-M4-01,steps_detail,1. 年金400万円以下で他の所得が20万円以下であれば原則不要です。判断がつかない場合は深川税務署（0164-23-2191）にお電話ください。 2. 所得の計算は1月1日から死亡日までの分です。 3. 国税庁のWebサイトで申告書を作成できます。 4. 提出先は深川税務署です（北海道深川市4条15番3号）。
LO-HOKURYU-121,RN-M4-01,office_hours,平日 8:30-17:00
LO-HOKURYU-122,RN-M4-01,address,深川税務署：北海道深川市4条15番3号
LO-HOKURYU-123,RN-M4-01,phone,0164-23-2191
LO-HOKURYU-156,RN-M4-02,destination,深川税務署
LO-HOKURYU-157,RN-M4-02,office_hours,平日 8:30-17:00
LO-HOKURYU-158,RN-M4-02,address,深川税務署：北海道深川市4条15番3号
LO-HOKURYU-159,RN-M4-02,phone,0164-23-2191
LO-HOKURYU-124,RN-M10-01,destination,深川税務署
LO-HOKURYU-125,RN-M10-01,steps_detail,"1. 基礎控除の例：相続人2人の場合は4,200万円、3人の場合は4,800万円です。 2.— 3. 特例を使って税額が0円でも申告が必要です。期限は死亡日から10か月です。 4. 税理士への依頼費用の目安は遺産総額の0.5〜1%です。北竜町の農地には「納税猶予の特例」があります。"
LO-HOKURYU-126,RN-M10-01,office_hours,平日 8:30-17:00
LO-HOKURYU-127,RN-M10-01,address,深川税務署：北海道深川市4条15番3号
LO-HOKURYU-128,RN-M10-01,phone,0164-23-2191
LO-HOKURYU-129,RN-M10-05,address,{要確認：北空知信金、JAきたそらち、北洋銀行深川支店、ゆうちょ銀行等}
LO-HOKURYU-130,RN-M10-05,phone,{要確認：各銀行の電話番号}
LO-HOKURYU-131,RN-M10-07,destination,普通車：旭川運輸支局／軽：軽自動車検査協会
LO-HOKURYU-132,RN-M10-07,steps_detail,1. ディーラーやローン会社の所有になっている場合は、先に所有権解除が必要です。 2. 売却する場合はまず名義変更を行ってください。 3. 旭川運輸支局（050-5540-2003）に必要書類一式を持参してください。代行を依頼する場合の費用は1〜3万円程度です。 4. →RN-D14-12もご確認ください。 5. 運転免許証の返却は義務ではなく罰則もありません。深川警察署（0164-23-0110）に持参すれば返却できます。深川に行くついでに対応されることをおすすめします。
LO-HOKURYU-133,RN-M10-07,office_hours,平日 8:45-16:00（運輸支局）
LO-HOKURYU-134,RN-M10-07,address,旭川運輸支局：北海道旭川市春光町10番地
LO-HOKURYU-135,RN-M10-07,phone,050-5540-2003
LO-HOKURYU-141,RN-Y3-01,action_summary,故人名義の土地・建物の相続登記を法務局に申請します。固定資産評価証明書は北竜町役場で取得可能です。
LO-HOKURYU-142,RN-Y3-01,destination,旭川地方法務局（本局）
LO-HOKURYU-143,RN-Y3-01,steps_detail,1. 固定資産評価証明書は約300円で取得できます。 2.— 3. 必要書類一式をお持ちください。登録免許税は収入印紙で納めます。 4. 旭川地方法務局本局（0166-38-1111）に申請してください。1〜2週間で完了します。登記手続案内（予約制・無料）もあります。郵送での申請も可能です。 5.【重要】2024年4月に義務化されました。3年以内に申請しないと10万円以下の過料の対象になります。農地も相続登記が必要です（農業委員会届出とは別です）。手続きが複雑な場合は司法書士にご依頼ください（費用目安は5〜10万円です）。
LO-HOKURYU-144,RN-Y3-01,office_hours,平日 8:30-17:15
LO-HOKURYU-145,RN-Y3-01,address,旭川地方法務局：北海道旭川市宮前1条3丁目3番15号
LO-HOKURYU-146,RN-Y3-01,phone,0166-38-1111
LO-HOKURYU-160,RN-D7-02,faq,Q.家族葬と一般葬の違いは？→家族葬は近親者のみで行います\nQ.友引は避けるべき？→北海道では気にしない方も多いです。火葬場の休みを確認してください\nQ.見積もりに含まれないものは？→お布施、心付け、飲食の追加分などです\nQ.喪主は誰がやるべき？→法律上の決まりはありません。配偶者が務めることが多いです\nQ.遺影のいい写真がない→集合写真の切り抜きやスマホの写真でも大丈夫です
LO-HOKURYU-161,RN-D14-11,steps_detail,1. わからない場合は生命保険協会の「契約照会制度」で調べられます。\n2. —\n3. —\n4. 同封するものは、死亡診断書コピー・受取人の本人確認書類/戸籍謄本/振込先口座です。5営業日〜1か月で振り込まれます。JA共済はJAきたそらち窓口で手続きできます。
LO-HOKURYU-162,RN-M3-11,steps_detail,1. 法定相続分を参考にしつつ、合意があれば自由な割合で分けられます。\n2. 記載内容は、被相続人の情報・全相続人の氏名・各財産の取得者です（具体的に記載してください）。\n3. 認印では銀行等の手続きで受け付けてもらえません。必ず実印を使ってください。遠方の相続人がいる場合は郵送リレー方式をおすすめします（書留で追跡番号を共有してください）。\n4. まとまらない場合は家庭裁判所の遺産分割調停（0164-23-2813）または弁護士にご相談ください。
