rule_id,task_id,rule_type,required_questions,applies_when,not_applicable_when,auto_done_when,fallback_status
TR-8217,RN-D14-17,CONFIRMED,Q-FIN-01,Q-FIN-01 contains CARD,Q-FIN-01 == NONE OR (answered_non_unknown(Q-FIN-01) AND Q-FIN-01 does_not_contain CARD),,NEED_CONFIRM
TR-8218,RN-D14-18,CONFIRMED,Q-RENT-01,Q-RENT-01 == YES,Q-RENT-01 == NO,,NEED_CONFIRM
TR-8219,RN-D14-19,GENERAL,,TRUE,,,OPEN
TR-8220,RN-D14-20,GENERAL,,TRUE,,,OPEN
TR-8222,RN-D14-22,GENERAL,,TRUE,,,OPEN
TR-8223,RN-D14-23,CONFIRMED,Q-HI-01;Q-DEPENDENT-01,Q-HI-01 == EHI AND Q-DEPENDENT-01 == YES,(Q-HI-01 in [NHI;LATTER]) OR Q-DEPENDENT-01 == NO,,NEED_CONFIRM
TR-8224,RN-D14-24,CONFIRMED,Q-CHILD-U18-01;Q-REL-01,Q-CHILD-U18-01 == YES AND Q-REL-01 == SPOUSE,Q-CHILD-U18-01 == NO OR (answered_non_unknown(Q-REL-01) AND Q-REL-01 != SPOUSE),,NEED_CONFIRM
TR-8150,RN-D49-01,GENERAL,,TRUE,,,OPEN
TR-8151,RN-D49-02,CONFIRMED,Q-FUN-STATUS-01,Q-FUN-STATUS-01 in [NOT_DECIDED;ARRANGING;SCHEDULED;COMPLETED],Q-FUN-STATUS-01 in [DIRECT_CREMATION;NO_FUNERAL],,NEED_CONFIRM
TR-8301,RN-M3-01,GENERAL,,TRUE,,,OPEN
TR-8302,RN-M3-02,GENERAL,,TRUE,,,OPEN
TR-8303,RN-M3-03,GENERAL,,TRUE,,,OPEN
TR-8304,RN-M3-04,CONFIRMED,Q-LOAN-01,Q-LOAN-01 == YES,Q-LOAN-01 == NO,,NEED_CONFIRM
TR-8305,RN-M3-05,GENERAL,,TRUE,,,OPEN
TR-8307,RN-M3-07,GENERAL,,TRUE,,,OPEN
TR-8310,RN-M3-10,GENERAL,,TRUE,,,OPEN
TR-8311,RN-M3-11,GENERAL,,TRUE,,,OPEN
TR-8312,RN-M3-12,CONFIRMED,Q-AGRI-01,Q-AGRI-01 == YES,Q-AGRI-01 == NO,,NEED_CONFIRM
TR-8401,RN-M4-01,POSSIBLE,Q-TAX-01,Q-TAX-01 contains_any [BUSINESS;REALESTATE],Q-TAX-01 == NONE,,NEED_CONFIRM
TR-8501,RN-M10-01,POSSIBLE,,TRUE,,,NEED_CONFIRM
TR-8505,RN-M10-05,POSSIBLE,Q-FIN-01,Q-FIN-01 contains BANK,Q-FIN-01 == NONE OR (answered_non_unknown(Q-FIN-01) AND Q-FIN-01 does_not_contain BANK),,NEED_CONFIRM
TR-8507,RN-M10-07,POSSIBLE,Q-CAR-01,Q-CAR-01 == YES,Q-CAR-01 == NO,,NEED_CONFIRM
TR-8508,RN-M10-08,CONFIRMED,Q-LICENSE-01,Q-LICENSE-01 == YES,Q-LICENSE-01 == NO,,NEED_CONFIRM
TR-8601,RN-Y3-01,POSSIBLE,Q-RE-01,Q-RE-01 == YES,Q-RE-01 == NO,,NEED_CONFIRM
